doc_id,filename,category,source_path
0,0.txt,business,data\raw\business\001.txt
1,1.txt,business,data\raw\business\002.txt
2,2.txt,business,data\raw\business\003.txt
3,3.txt,business,data\raw\business\004.txt
4,4.txt,business,data\raw\business\005.txt
5,5.txt,business,data\raw\business\006.txt
6,6.txt,business,data\raw\business\007.txt
7,7.txt,business,data\raw\business\008.txt
8,8.txt,business,data\raw\business\009.txt
9,9.txt,business,data\raw\business\010.txt
10,10.txt,business,data\raw\business\011.txt
11,11.txt,business,data\raw\business\012.txt
12,12.txt,business,data\raw\business\013.txt
13,13.txt,business,data\raw\business\014.txt
14,14.txt,business,data\raw\business\015.txt
15,15.txt,business,data\raw\business\016.txt
16,16.txt,business,data\raw\business\017.txt
17,17.txt,business,data\raw\business\018.txt
18,18.txt,business,data\raw\business\019.txt
19,19.txt,business,data\raw\business\020.txt
20,20.txt,business,data\raw\business\021.txt
21,21.txt,business,data\raw\business\022.txt
22,22.txt,business,data\raw\business\023.txt
23,23.txt,business,data\raw\business\024.txt
24,24.txt,business,data\raw\business\025.txt
25,25.txt,business,data\raw\business\026.txt
26,26.txt,business,data\raw\business\027.txt
27,27.txt,business,data\raw\business\028.txt
28,28.txt,business,data\raw\business\029.txt
29,29.txt,business,data\raw\business\030.txt
30,30.txt,business,data\raw\business\031.txt
31,31.txt,business,data\raw\business\032.txt
32,32.txt,business,data\raw\business\033.txt
33,33.txt,business,data\raw\business\034.txt
34,34.txt,business,data\raw\business\035.txt
35,35.txt,business,data\raw\business\036.txt
36,36.txt,business,data\raw\business\037.txt
37,37.txt,business,data\raw\business\038.txt
38,38.txt,business,data\raw\business\039.txt
39,39.txt,business,data\raw\business\040.txt
40,40.txt,business,data\raw\business\041.txt
41,41.txt,business,data\raw\business\042.txt
42,42.txt,business,data\raw\business\043.txt
43,43.txt,business,data\raw\business\044.txt
44,44.txt,business,data\raw\business\045.txt
45,45.txt,business,data\raw\business\046.txt
46,46.txt,business,data\raw\business\047.txt
47,47.txt,business,data\raw\business\048.txt
48,48.txt,business,data\raw\business\049.txt
49,49.txt,business,data\raw\business\050.txt
50,50.txt,business,data\raw\business\051.txt
51,51.txt,business,data\raw\business\052.txt
52,52.txt,business,data\raw\business\053.txt
53,53.txt,business,data\raw\business\054.txt
54,54.txt,business,data\raw\business\055.txt
55,55.txt,business,data\raw\business\056.txt
56,56.txt,business,data\raw\business\057.txt
57,57.txt,business,data\raw\business\058.txt
58,58.txt,business,data\raw\business\059.txt
59,59.txt,business,data\raw\business\060.txt
60,60.txt,business,data\raw\business\061.txt
61,61.txt,business,data\raw\business\062.txt
62,62.txt,business,data\raw\business\063.txt
63,63.txt,business,data\raw\business\064.txt
64,64.txt,business,data\raw\business\065.txt
65,65.txt,business,data\raw\business\066.txt
66,66.txt,business,data\raw\business\067.txt
67,67.txt,business,data\raw\business\068.txt
68,68.txt,business,data\raw\business\069.txt
69,69.txt,business,data\raw\business\070.txt
70,70.txt,business,data\raw\business\071.txt
71,71.txt,business,data\raw\business\072.txt
72,72.txt,business,data\raw\business\073.txt
73,73.txt,business,data\raw\business\074.txt
74,74.txt,business,data\raw\business\075.txt
75,75.txt,business,data\raw\business\076.txt
76,76.txt,business,data\raw\business\077.txt
